USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001421800	528482	0	0.204	0.	37.8802854	-122.2782006                                                                                                                                                
CA	06001421900	845060	0	0.326	0.	37.8794472	-122.2896362                                                                                                                                                
CA	06001422000	4504647	5864364	1.739	2.264	37.8592091	-122.3016412                                                                                                                                      
CA	06001422100	551942	0	0.213	0.	37.8733067	-122.2965336                                                                                                                                                
CA	06001422200	675011	0	0.261	0.	37.8728828	-122.2878171                                                                                                                                                
CA	06001422300	560048	0	0.216	0.	37.8740722	-122.2779151                                                                                                                                                
CA	06001422400	475566	0	0.184	0.	37.8752396	-122.2695878                                                                                                                                                
CA	06001422500	465527	0	0.18	0.	37.8773391	-122.2602611                                                                                                                                                 
CA	06001422700	346821	0	0.134	0.	37.8679151	-122.2495095                                                                                                                                                
CA	06001422800	408571	0	0.158	0.	37.8667875	-122.259979                                                                                                                                                 
CA	06001422901	158830	0	0.061	0.	37.8657427	-122.2678632                                                                                                                                                
CA	06001422902	385452	0	0.149	0.	37.8687746	-122.2698172                                                                                                                                                
CA	06001423000	730083	0	0.282	0.	37.8668441	-122.2771352                                                                                                                                                
CA	06001423100	748653	0	0.289	0.	37.865807	-122.2863197                                                                                                                                                 
CA	06001423200	456778	0	0.176	0.	37.8645164	-122.2936857                                                                                                                                                
CA	06001423300	726625	0	0.281	0.	37.8573281	-122.2842016                                                                                                                                                
CA	06001423400	755441	0	0.292	0.	37.8583735	-122.275884                                                                                                                                                 
CA	06001423500	635744	0	0.245	0.	37.8593612	-122.268048                                                                                                                                                 
CA	06001423601	523435	0	0.202	0.	37.8588898	-122.258719                                                                                                                                                 
CA	06001423602	404545	0	0.156	0.	37.8631828	-122.2592684                                                                                                                                                
CA	06001423700	728688	0	0.281	0.	37.8618284	-122.2490093                                                                                                                                                
CA	06001423800	1084723	0	0.419	0.	37.8547209	-122.2441397                                                                                                                                               
CA	06001423901	394492	0	0.152	0.	37.852246	-122.267564                                                                                                                                                  
CA	06001423902	294981	0	0.114	0.	37.8548712	-122.257602                                                                                                                                                 
CA	06001424001	507530	0	0.196	0.	37.8503694	-122.2746228                                                                                                                                                
CA	06001424002	326768	0	0.126	0.	37.8504772	-122.281531                                                                                                                                                 
CA	06001425101	598450	2087491	0.231	0.806	37.8382532	-122.3054128                                                                                                                                       
CA	06001425102	735810	0	0.284	0.	37.8398785	-122.2946351                                                                                                                                                
CA	06001425103	876085	0	0.338	0.	37.8425607	-122.2898163                                                                                                                                                
CA	06001425104	1087240	0	0.42	0.	37.8326584	-122.2833245                                                                                                                                                
CA	06001426100	3047861	0	1.177	0.	37.8216083	-122.2252725                                                                                                                                               
CA	06001426200	1358213	0	0.524	0.	37.8246262	-122.2406411                                                                                                                                               
CA	06001427100	1025446	168200	0.396	0.065	37.764909	-122.2299614                                                                                                                                        
CA	06001427200	1329667	625070	0.513	0.241	37.780827	-122.248255                                                                                                                                         
CA	06001427300	1950569	821461	0.753	0.317	37.7810489	-122.2662775                                                                                                                                       
CA	06001427600	582864	0	0.225	0.	37.7778323	-122.2835979                                                                                                                                                
CA	06001427700	999701	708894	0.386	0.274	37.7681553	-122.2868948                                                                                                                                        
CA	06001427800	831152	0	0.321	0.	37.7714922	-122.2690581                                                                                                                                                
CA	06001427900	825214	0	0.319	0.	37.7698045	-122.2582454                                                                                                                                                
CA	06001428000	525761	0	0.203	0.	37.7666414	-122.2475404                                                                                                                                                
CA	06001428100	994804	38328	0.384	0.015	37.7589136	-122.2346068                                                                                                                                         
CA	06001428200	1362067	804742	0.526	0.311	37.7533497	-122.2396803                                                                                                                                       
CA	06001428301	4300902	1597298	1.661	0.617	37.7344929	-122.2414385                                                                                                                                      
CA	06001428302	2231409	474770	0.862	0.183	37.7439709	-122.249779                                                                                                                                        
CA	06001428400	810521	1168052	0.313	0.451	37.7564138	-122.2559068                                                                                                                                       
CA	06001428500	624197	383522	0.241	0.148	37.7601324	-122.2593887                                                                                                                                        
CA	06001428600	898967	1080420	0.347	0.417	37.766273	-122.2738461                                                                                                                                        
CA	06001428700	7640768	4458410	2.95	1.721	37.7817406	-122.3026484                                                                                                                                       
CA	06001430101	25683484	0	9.916	0.	37.7272887	-122.0150232                                                                                                                                              
CA	06001430102	77663212	3506442	29.986	1.354	37.7674981	-122.050012                                                                                                                                     
CA	06001430200	5334087	0	2.06	0.	37.7216585	-122.0615699                                                                                                                                                
CA	06001430300	2551932	9638	0.985	0.004	37.7172764	-122.0819576                                                                                                                                         
CA	06001430400	2433270	481854	0.939	0.186	37.7212084	-122.1010957                                                                                                                                       
CA	06001430500	2607359	0	1.007	0.	37.7049262	-122.1091621                                                                                                                                               
CA	06001430600	2261413	0	0.873	0.	37.7041757	-122.0969638                                                                                                                                               
CA	06001430700	1322603	0	0.511	0.	37.7060948	-122.0822254                                                                                                                                               
CA	06001430800	1801249	0	0.695	0.	37.6992109	-122.0650346                                                                                                                                               
CA	06001430900	1096550	0	0.423	0.	37.6982784	-122.0828322                                                                                                                                               
CA	06001431000	954210	0	0.368	0.	37.6929313	-122.0784573                                                                                                                                                
CA	06001431100	984303	0	0.38	0.	37.6881137	-122.0672905                                                                                                                                                 
CA	06001431200	2025757	26007	0.782	0.01	37.6871184	-122.0834504                                                                                                                                         
CA	06001432100	1105772	0	0.427	0.	37.7360495	-122.1466048                                                                                                                                               
CA	06001432200	1023815	0	0.395	0.	37.7330544	-122.1562452                                                                                                                                               
CA	06001432300	1044920	0	0.403	0.	37.7308763	-122.1656514                                                                                                                                               
CA	06001432400	6442759	1843213	2.488	0.712	37.7085402	-122.1858996                                                                                                                                      
CA	06001432501	1365205	0	0.527	0.	37.7167215	-122.1661682                                                                                                                                               
CA	06001432502	823638	0	0.318	0.	37.7234991	-122.1735223                                                                                                                                                
CA	06001432601	1060237	0	0.409	0.	37.7215214	-122.1576682                                                                                                                                               
CA	06001432602	613212	0	0.237	0.	37.7247163	-122.1508066                                                                                                                                                
CA	06001432700	828635	0	0.32	0.	37.7270704	-122.1428436                                                                                                                                                 
CA	06001432800	3877193	0	1.497	0.	37.7212465	-122.123827                                                                                                                                                
CA	06001433000	1316548	0	0.508	0.	37.7159042	-122.1354894                                                                                                                                               
CA	06001433102	1504293	0	0.581	0.	37.7020462	-122.1331241                                                                                                                                               
CA	06001433103	693343	0	0.268	0.	37.7093385	-122.1390414                                                                                                                                                
CA	06001433104	1053445	0	0.407	0.	37.7142641	-122.1469937                                                                                                                                               
CA	06001433200	3173333	0	1.225	0.	37.7017249	-122.1470315                                                                                                                                               
CA	06001433300	2520122	0	0.973	0.	37.6985123	-122.1575782                                                                                                                                               
CA	06001433400	5417052	3744232	2.092	1.446	37.6862098	-122.1772459                                                                                                                                      
CA	06001433500	1234041	0	0.476	0.	37.6845055	-122.155317                                                                                                                                                
CA	06001433600	1581524	0	0.611	0.	37.6860856	-122.1437723                                                                                                                                               
CA	06001433700	1284676	0	0.496	0.	37.6876466	-122.1145204                                                                                                                                               
CA	06001433801	600344	0	0.232	0.	37.7049461	-122.1226567                                                                                                                                                
CA	06001433802	934044	0	0.361	0.	37.6948314	-122.123894                                                                                                                                                 
CA	06001433900	816590	0	0.315	0.	37.6992655	-122.1135392                                                                                                                                                
CA	06001434000	1217965	0	0.47	0.	37.692345	-122.1102056                                                                                                                                                 
CA	06001435102	4174115	0	1.612	0.	37.655131	-122.0456272                                                                                                                                                
CA	06001435103	51789791	0	19.996	0.	37.6516747	-121.9827815                                                                                                                                             
CA	06001435104	7240654	0	2.796	0.	37.6385144	-122.0388422                                                                                                                                               
CA	06001435200	2256370	61592	0.871	0.024	37.6880455	-122.0490826                                                                                                                                        
CA	06001435300	1285132	0	0.496	0.	37.6807762	-122.0646561                                                                                                                                               
CA	06001435400	1325172	0	0.512	0.	37.6739167	-122.08317                                                                                                                                                 
CA	06001435500	1012334	0	0.391	0.	37.6809369	-122.09333                                                                                                                                                 
CA	06001435601	946094	0	0.365	0.	37.6746707	-122.1022676                                                                                                                                                
CA	06001435602	1143135	0	0.441	0.	37.6819299	-122.107                                                                                                                                                   
CA	06001435700	1330957	0	0.514	0.	37.6786744	-122.1161142                                                                                                                                               
